run_id,model,mode,temperature,repeat_penalty,top_p,top_k,min_p,ctx_size,keep,batch_size,ubatch_size,threads,ngl,ctk,ctv,flash_attn,context_shift,poll_level,use_mmap,split_mode,dry_multiplier,frequency_penalty,presence_penalty,token_limit,system_prompt,rouge1,rouge2,rougeL,rougeLsum,avg_prefill_speed,avg_decode_speed,avg_total_speed,runtime_seconds
1,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.1,1.0,30,0.15,1024,0,128,128,8,0,f16,f16,on,0,30,0,none,1.0,0.1,0.4,600,,0.1941179246508825,0.024263636063878886,0.11869590331398433,0.13364990940989108,0.00,0.00,55.73,538
2,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.1,1.0,30,0.15,1024,4,128,128,8,0,f16,f16,on,0,30,0,none,1.0,0.1,0.4,600,,0.19678943333296728,0.026311315476249212,0.12086910306414508,0.13783605861610815,0.00,0.00,55.94,528
3,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.1,1.0,30,0.15,1024,0,128,128,8,0,f16,f16,on,1,30,0,none,1.0,0.1,0.4,600,,0.20434597829609702,0.02298793901148459,0.12329146935990756,0.14647680893692921,0.00,0.00,56.48,530
4,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.1,1.0,30,0.15,1024,0,128,128,8,0,f16,f16,on,0,30,0,none,1.0,0.1,0.4,600,,0.19964680669086027,0.023640744609057563,0.12663683789262986,0.14315867566679502,0.00,0.00,55.83,537
5,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.1,1.0,30,0.15,1024,4,128,128,8,0,f16,f16,on,1,30,0,none,1.0,0.1,0.4,600,,0.1807287856634337,0.021497830559619215,0.11555160390582914,0.12706989647513608,0.00,0.00,53.22,591
6,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.1,1.0,30,0.15,1024,0,128,128,8,0,f16,f16,on,1,30,0,none,1.0,0.1,0.4,600,,0.1875800647958964,0.025741201038953145,0.11431657151879798,0.12511021246868181,0.00,0.00,54.45,578
7,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.1,1.0,30,0.15,1024,4,128,128,8,0,f16,f16,on,1,30,0,none,1.0,0.1,0.4,600,,0.20772237174377994,0.02611571257203983,0.12771334219204217,0.14574048936558304,0.00,0.00,56.05,545
8,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.1,1.0,30,0.15,1024,0,128,128,8,0,f16,f16,on,0,30,0,none,1.0,0.1,0.4,600,,0.19602759618319465,0.025856304347061328,0.11905181291813136,0.13844809788642803,0.00,0.00,54.75,547
9,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.1,1.0,30,0.15,1024,0,128,128,8,0,f16,f16,on,0,30,0,none,1.0,0.1,0.4,600,,0.18971781062435072,0.023660319447649923,0.11937265869406949,0.13644149952025303,0.00,0.00,55.71,567
10,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.1,1.0,30,0.15,1024,4,128,128,8,0,f16,f16,on,1,30,0,none,1.0,0.1,0.4,600,,0.20074856916634123,0.028537280874161207,0.12843499272904224,0.14424059259106764,0.00,0.00,55.74,524
