run_id,model,mode,temperature,repeat_penalty,top_p,top_k,min_p,ctx_size,keep,batch_size,ubatch_size,threads,ngl,ctk,ctv,flash_attn,context_shift,streamllm_enabled,sink_count,sink_bias,poll_level,use_mmap,split_mode,dry_multiplier,frequency_penalty,presence_penalty,token_limit,rouge1,rouge2,rougeL,rougeLsum,runtime_sec,avg_total_speed_tok_s
1,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.3,1.2,1.0,40,0.15,2048,0,128,128,8,0,f16,q8_0,on,1,1,4,12,30,0,none,0.8,0.15,0.4,750,0.07424703813344449,0.0021295930387772058,0.05626699349454337,0.06243147109835234,783,62.65
2,mobilellm-r1.5-950M_q4_0.gguf,CPU,0.3,1.2,1.0,30,0.15,1024,4,256,256,8,0,f16,q8_0,on,1,1,0,0,30,0,none,1.0,0.15,0.2,750,0.08878067104686396,0.007105796784192414,0.06918252993640583,0.07330264660457417,1439,57.28
3,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.2,1.1,1.0,40,0.15,2048,0,256,256,8,0,f16,q8_0,on,0,0,0,0,30,0,none,1.0,0.15,0.3,500,0.12420917412405039,0.01109354592720901,0.08225020324708775,0.09249909286282315,1376,48.35
4,TinyLlama-1.1B-Chat-Q4_K_M.gguf,CPU,0.2,1.1,1.0,40,0.15,512,0,256,256,8,0,f16,q8_0,on,0,0,0,0,30,0,none,1.0,0.1,0.2,500,0.13884180064812757,0.013548754248145459,0.11072515845236905,0.10895691748533559,994,67.51
5,TinyLlama-1.1B-Chat-Q4_K_M.gguf,CPU,0.2,1.1,1.0,40,0.15,512,4,64,64,8,0,f16,q8_0,on,0,0,0,0,30,0,none,1.0,0.15,0.3,500,0.14927984107025924,0.015318221581626445,0.11265007883951639,0.11279250237640712,930,71.09
6,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.2,1.1,1.0,40,0.15,2048,0,64,64,8,0,f16,q8_0,on,0,0,0,0,30,0,none,1.0,0.1,0.4,500,0.12077156899860109,0.008925410402532998,0.0803679808211122,0.08424543061646503,1373,49.55
7,mobilellm-r1.5-950M_q4_0.gguf,CPU,0.2,1.1,1.0,40,0.15,512,0,64,64,8,0,f16,q8_0,on,0,0,0,0,30,0,none,1.0,0.15,0.3,500,0.11589899143622022,0.00899683891582101,0.07979438841819939,0.08662105865390907,1309,57.87
8,TinyLlama-1.1B-Chat-Q4_K_M.gguf,CPU,0.2,1.1,1.0,40,0.15,512,0,256,256,8,0,f16,q8_0,on,0,0,0,0,30,0,none,1.0,0.15,0.3,500,0.15218072465004576,0.013915361375620888,0.11472250646557364,0.11593109711982272,940,69.37
9,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.2,1.2,1.0,40,0.15,2048,0,512,512,8,0,f16,q8_0,on,0,0,0,0,30,0,none,0.8,0.1,0.4,750,0.11184435434399756,0.006284277935522725,0.0724133581284959,0.07516712137298198,1601,49.11
10,mobilellm-r1.5-950M_q4_0.gguf,CPU,0.2,1.1,1.0,30,0.15,1024,4,256,256,8,0,f16,q8_0,on,0,0,0,0,30,0,none,1.0,0.15,0.3,500,0.1097972903107786,0.008821622008107611,0.07528283458175014,0.0835014265960802,1303,62.54
11,mobilellm-r1.5-950M_q4_0.gguf,CPU,0.2,1.1,1.0,40,0.15,2048,0,256,256,8,0,f16,q8_0,on,0,0,0,0,30,0,none,1.0,0.1,0.4,500,0.10912802021163405,0.008792809697668491,0.07622465561636638,0.08199683613948991,1259,63.02
12,TinyLlama-1.1B-Chat-Q4_K_M.gguf,CPU,0.3,1.2,1.0,30,0.15,512,4,64,64,8,0,f16,q8_0,on,1,1,0,8,30,0,none,1.0,0.15,0.2,750,0.2372389970001793,0.032515655907259716,0.14165267797581582,0.14186401748008104,597,89.33
13,TinyLlama-1.1B-Chat-Q4_K_M.gguf,CPU,0.2,1.1,1.0,30,0.15,512,4,256,256,8,0,f16,q8_0,on,0,0,0,0,30,0,none,1.0,0.15,0.3,500,0.14920744681116113,0.011670984470979261,0.11136380156456643,0.10895813589945466,829,75.24
14,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.2,1.1,1.0,40,0.15,2048,0,256,256,8,0,f16,q8_0,on,0,0,0,0,30,0,none,1.0,0.15,0.2,500,,,,,129,54.06
15,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.2,1.1,1.0,40,0.15,1024,0,256,256,8,0,f16,q8_0,on,0,0,0,0,30,0,none,1.0,0.15,0.4,500,0.1343400721487894,0.01093241953704077,0.08557179530137365,0.09357470472115742,1311,55.82
16,TinyLlama-1.1B-Chat-Q4_K_M.gguf,CPU,0.2,1.2,1.0,40,0.15,512,0,128,128,8,0,f16,q8_0,on,0,0,0,0,30,0,none,0.8,0.1,0.3,500,0.12839266820592415,0.006140716051399005,0.09708289835311806,0.09822148162828008,733,83.91
17,TinyLlama-1.1B-Chat-Q4_K_M.gguf,CPU,0.2,1.1,1.0,40,0.15,512,0,256,256,8,0,f16,q8_0,on,0,0,0,0,30,0,none,1.0,0.1,0.2,500,0.12010431614669206,0.011494949772645148,0.09853802254101066,0.09781008700987413,960,66.78
18,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.3,1.2,1.0,30,0.15,1024,4,512,512,8,0,f16,q8_0,on,1,1,4,8,30,0,none,1.0,0.15,0.3,750,0.12492782345078973,0.00784032593709764,0.08655596924109725,0.10013744427102785,1523,51.45
19,mobilellm-r1.5-950M_q4_0.gguf,CPU,0.2,1.2,1.0,40,0.15,1024,0,512,512,8,0,f16,q8_0,on,0,0,0,0,30,0,none,0.8,0.1,0.4,750,0.0881795482841744,0.006008698485167739,0.06104797555208452,0.06572018799596466,1648,56.53
20,mobilellm-r1.5-950M_q4_0.gguf,CPU,0.2,1.1,1.0,40,0.15,1024,0,512,512,8,0,f16,q8_0,on,0,0,0,0,30,0,none,0.8,0.1,0.2,500,0.11664323780221773,0.009964096760992136,0.08220775488898892,0.08682232720076961,1258,63.74
21,mobilellm-r1.5-950M_q4_0.gguf,CPU,0.3,1.1,1.0,30,0.15,1024,0,128,128,8,0,f16,q8_0,on,0,0,0,0,30,0,none,1.0,0.1,0.3,500,0.1225545944031513,0.009182787750917524,0.08556281884491215,0.0918565963904287,1231,63.54
22,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.3,1.1,1.0,30,0.15,2048,4,256,256,8,0,f16,q8_0,on,1,1,0,0,30,0,none,1.0,0.1,0.4,500,0.20386482080131169,0.027170670698287318,0.12283616720956445,0.14629293286391742,937,60.09
23,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.2,1.2,1.0,40,0.15,512,0,128,128,8,0,f16,q8_0,on,0,0,0,0,30,0,none,1.0,0.1,0.2,500,0.13560696033515318,0.008399271933874498,0.08460274650239977,0.09352568675288914,1283,54.92
24,mobilellm-r1.5-950M_q4_0.gguf,CPU,0.3,1.1,1.0,30,0.15,1024,4,64,64,8,0,f16,q8_0,on,1,1,0,8,30,0,none,1.0,0.1,0.3,500,0.09067580534295105,0.007420154719974221,0.0711246389836617,0.0714688933050101,1172,65.04
25,mobilellm-r1.5-950M_q4_0.gguf,CPU,0.2,1.2,1.0,40,0.15,1024,0,128,128,8,0,f16,q8_0,on,0,0,0,0,30,0,none,0.8,0.1,0.3,750,0.09310086112182145,0.007455215113225412,0.06480900671154065,0.06953926363163754,1601,57.85
26,TinyLlama-1.1B-Chat-Q4_K_M.gguf,CPU,0.3,1.1,1.0,30,0.15,512,4,64,64,8,0,f16,q8_0,on,1,1,0,8,30,0,none,1.0,0.15,0.2,750,0.25820195465770535,0.03639921619134763,0.15779969745961495,0.1577511447360544,581,90.91
27,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.3,1.1,1.0,30,0.15,2048,4,64,64,8,0,f16,q8_0,on,0,0,0,0,30,0,none,1.0,0.15,0.2,500,0.12829690346819606,0.010894831063531944,0.08335917900809572,0.08991312215150409,1198,55.57
