run_id,model,mode,temperature,repeat_penalty,top_p,top_k,min_p,ctx_size,keep,batch_size,ubatch_size,threads,ngl,ctk,ctv,flash_attn,context_shift,poll_level,use_mmap,split_mode,dry_multiplier,frequency_penalty,presence_penalty,token_limit,system_prompt,bleurt_score,accuracy,avg_prefill_speed,avg_decode_speed,avg_total_speed,runtime_seconds
1,mobilellm-r1.5-950M_q4_0.gguf,CPU,0.2,1.1,0.9,30,0.05,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,0.6,0.05,0.1,250,"",-0.6358491003513336,0.5,35.21,20.74,20.57,326
2,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.2,1.2,0.9,30,0.15,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,0.8,0.05,0.1,250,"",-0.7226113468408585,0.6,32.16,19.63,19.46,346
3,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.3,1.1,0.9,30,0.05,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,0.6,0.05,0.1,250,"",-0.7331266731023789,0.4,32.63,21.89,21.61,340
4,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.2,1.2,1.0,50,0.15,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.3,250,"",-0.7106652975082397,0.7,32.25,20.93,20.70,350
5,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.3,1.1,0.95,40,0.05,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.1,0.2,250,"",-0.778162059187889,0.7,28.83,19.98,19.72,347
6,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.1,0.95,50,0.1,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,0.8,0.15,0.2,250,"",-0.7871815472841263,0.6,31.51,20.29,20.06,359
7,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.2,1.2,0.9,50,0.15,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,0.6,0.15,0.3,250,"",-0.708583977818489,0.8,32.16,20.41,20.19,354
8,mobilellm-r1.5-950M_q4_0.gguf,CPU,0.2,1.1,1.0,50,0.15,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.05,0.3,250,"",-0.6906119078397751,0.7,31.96,20.56,20.36,349
9,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.4,1.2,1.0,40,0.1,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.1,0.2,250,"",-0.7247094288468361,0.4,29.73,20.38,20.12,353
10,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.2,1.1,0.9,50,0.05,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,0.6,0.05,0.1,250,"",-0.6358491003513336,0.5,30.89,20.41,20.16,355
11,TinyLlama-1.1B-Chat-Q4_K_M.gguf,CPU,0.4,1.2,1.0,40,0.1,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.2,250,"",-0.8176623597741127,0.5,32.61,20.60,20.50,318
12,mobilellm-r1.5-950M_q4_0.gguf,CPU,0.2,1.1,1.0,50,0.15,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.05,0.3,250,"",-0.6906119078397751,0.7,30.18,20.05,19.82,349
13,TinyLlama-1.1B-Chat-Q4_K_M.gguf,CPU,0.4,1.2,0.95,40,0.1,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,0.8,0.15,0.2,250,"",-0.8176623597741127,0.5,31.78,20.62,20.50,321
14,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.3,1.2,0.95,30,0.1,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,0.8,0.05,0.1,250,"",-0.7471546664834022,0.6,31.65,20.58,20.38,337
15,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.4,1.2,1.0,40,0.1,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.1,0.2,250,"",-0.7247094288468361,0.4,30.56,20.14,19.91,350
16,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.4,1.2,0.95,50,0.1,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.3,250,"",-0.767634904384613,0.5,33.16,20.69,20.54,339
17,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.1,1.0,50,0.15,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.05,0.3,250,"",-0.7294094026088714,0.4,28.91,20.24,19.96,352
18,TinyLlama-1.1B-Chat-Q4_K_M.gguf,CPU,0.2,1.1,0.9,30,0.15,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,0.6,0.05,0.3,250,"",-0.6981767117977142,0.6,30.05,20.27,20.04,343
19,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.2,1.1,1.0,30,0.15,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.15,0.3,250,"",-0.7120168894529343,0.9,30.03,19.82,19.59,359
20,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.3,1.2,0.9,30,0.05,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,0.6,0.1,0.1,250,"",-0.7958046123385429,0.5,31.69,20.41,20.18,329
21,mobilellm-r1.5-950M_q4_0.gguf,CPU,0.3,1.1,0.95,40,0.1,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.1,0.3,250,"",-0.7125788539648056,0.7,28.74,20.54,20.21,351
22,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.3,1.2,0.9,30,0.05,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,0.6,0.1,0.1,250,"",-0.7958046123385429,0.5,29.87,20.11,19.96,337
23,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.3,1.2,0.95,30,0.05,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,0.8,0.05,0.1,250,"",-0.7472022831439972,0.7,30.31,20.23,19.97,352
24,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.2,1.2,1.0,50,0.15,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.05,0.3,250,"",-0.730140945315361,0.7,31.28,19.58,19.36,369
25,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.3,1.2,0.95,30,0.05,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,0.8,0.05,0.1,250,"",-0.7472022831439972,0.7,30.92,19.55,19.32,358
26,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.4,1.1,0.95,40,0.1,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,0.8,0.15,0.2,250,"",-0.7871815472841263,0.6,30.84,19.66,19.44,360
27,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.3,1.1,0.95,40,0.05,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,1.0,0.1,0.2,250,"",-0.778162059187889,0.7,29.48,19.43,19.21,350
28,mobilellm-r1.5-950M_q4_0.gguf,CPU,0.3,1.1,0.95,40,0.1,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,0.8,0.1,0.2,250,"",-0.7482204228639603,0.7,27.98,18.69,18.44,371
29,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.3,1.1,0.9,30,0.05,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,0.6,0.05,0.1,250,"",-0.7331266731023789,0.4,29.57,19.19,18.96,362
30,mobilellm-r1.5-950M_q4_0.gguf,CPU,0.2,1.1,1.0,30,0.15,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,0.6,0.15,0.1,250,"",-0.6955128520727157,0.4,30.84,19.04,18.87,362
31,TinyLlama-1.1B-Chat-Q4_K_M.gguf,CPU,0.4,1.2,0.95,50,0.1,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,0.8,0.15,0.2,250,"",-0.8176623597741127,0.5,31.91,19.67,19.58,333
