run_id,model,mode,temperature,repeat_penalty,top_p,top_k,ctx_size,keep,batch_size,ubatch_size,threads,ngl,ctk,ctv,flash_attn,context_shift,poll_level,use_mmap,split_mode,system_prompt,bleurt_score,accuracy,avg_prefill_speed,avg_decode_speed,avg_total_speed,runtime_seconds
1,minicpm-3b-openhermes-2.5-v2.Q4_K_M.gguf,CPU,0.5,1.1,0.95,50,512,4,128,128,8,0,f16,f16,on,1,30,0,none,"",-0.8428158617019653,0.6,38.04,23.09,23.93,1236
2,mobilellm-r1.5-950M_q4_0.gguf,CPU,0.4,1.1,0.95,40,512,4,64,64,8,0,f16,q8_0,on,1,30,0,none,"",-0.8046402537822723,0.56,36.47,22.43,23.07,1366
3,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.4,1.1,0.9,40,1024,4,256,256,8,0,f16,f16,on,1,30,0,none,"",-0.852866742014885,0.52,35.61,22.64,23.21,1396
4,mobilellm-r1.5-950M_q4_0.gguf,CPU,0.4,1.1,0.95,40,256,4,64,64,8,0,f16,f16,on,1,50,0,none,"",-0.8562410360574723,0.52,35.30,22.22,22.86,1402
5,LFM2-8B-A1B-Q4_K_M.gguf,CPU,0.2,1.1,1.0,60,512,4,128,128,8,0,f16,f16,on,1,30,0,none,"",-0.7967844180762768,0.54,35.42,22.25,23.31,1409
6,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.2,1.1,0.95,60,512,4,64,64,8,0,f16,f16,on,1,40,0,none,"",-0.7967844180762768,0.54,34.25,21.87,22.72,1433
7,mobilellm-r1.5-950M_q4_0.gguf,CPU,0.5,1.1,1.0,50,512,4,128,128,8,0,f16,f16,on,1,50,0,none,"",-0.8425772380828858,0.6,35.97,22.64,23.39,1388
8,LFM2-8B-A1B-Q4_K_M.gguf,CPU,0.4,1.1,1.0,40,512,4,128,128,8,0,f16,q8_0,on,1,50,0,none,"",-0.8004881632328034,0.56,35.47,22.09,22.72,1430
9,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.2,1.1,1.0,60,1024,4,128,128,8,0,f16,f16,on,1,50,0,none,"",-0.7967844180762768,0.54,34.27,22.44,23.39,1425
10,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.3,1.1,1.0,30,512,4,128,128,8,0,f16,f16,on,1,30,0,none,"",-0.7453000200342159,0.5306122448979592,35.38,22.47,23.35,1433
11,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.4,1.1,0.9,40,1024,4,256,256,8,0,f16,q8_0,on,1,30,0,none,"",-0.8177727395296097,0.54,35.01,22.34,23.03,1399
12,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.3,1.1,1.0,30,1024,4,256,256,8,0,f16,f16,on,1,40,0,none,"",-0.7453000200342159,0.5306122448979592,35.53,22.57,23.46,1430
13,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.5,1.1,1.0,50,1024,4,256,256,8,0,f16,f16,on,1,30,0,none,"",-0.8425772380828858,0.6,37.31,23.05,23.93,1365
14,LFM2-8B-A1B-Q4_K_M.gguf,CPU,0.3,1.1,0.95,30,256,4,64,64,8,0,f16,q8_0,on,1,50,0,none,"",-0.7742813830077648,0.58,34.85,22.04,23.20,1413
15,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,0.5,1.1,1.0,50,1024,4,256,256,8,0,f16,q8_0,on,1,30,0,none,"",-0.8512634992599487,0.52,34.21,22.01,22.62,1404
16,mobilellm-r1.5-950M_q4_0.gguf,CPU,0.2,1.1,0.95,60,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,"",-0.7516061066091061,0.52,35.10,22.23,22.95,1427
17,minicpm-3b-openhermes-2.5-v2.Q4_K_M.gguf,CPU,0.5,1.1,0.9,50,256,4,256,256,8,0,f16,f16,on,1,40,0,none,"",-0.8305217808485031,0.58,37.11,22.30,23.29,1309
18,minicpm-3b-openhermes-2.5-v2.Q4_K_M.gguf,CPU,0.2,1.1,1.0,60,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,"",-0.7516061066091061,0.52,36.22,22.53,23.30,1419
19,LFM2-8B-A1B-Q4_K_M.gguf,CPU,0.4,1.1,1.0,30,1024,4,128,128,8,0,f16,q8_0,on,1,50,0,none,"",-0.8000407826900482,0.54,36.77,22.68,23.41,1395
