run_id,model,mode,temperature,repeat_penalty,top_p,top_k,ctx_size,keep,batch_size,ubatch_size,threads,ngl,ctk,ctv,flash_attn,context_shift,poll_level,use_mmap,split_mode,bleurt_score,accuracy,runtime_seconds
1,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.9,1.1,0.9,60,4096,4,256,512,6,0,f16,f16,off,1,100,1,none,-0.9936389250867069,0.48,781
2,microsoft_Phi-4-mini-instruct-Q4_K_M.gguf,CPU,0.9,1.1,1.0,60,8192,4,256,512,6,0,q8_0,f16,on,1,0,0,none,-0.9259813296794891,0.5,954
3,microsoft_Phi-4-mini-instruct-Q4_K_M.gguf,CPU,1.0,1.05,0.9,20,4096,4,128,256,6,0,q5_1,f16,off,1,100,1,none,-1.532063249349594,0.46,897
4,Llama-3.2-3B-Instruct-Q4_K_M.gguf,CPU,0.9,1.05,0.9,40,4096,4,128,256,6,0,f16,q5_1,on,1,100,1,none,-1.0453239922225475,0.48,903
5,Llama-3.2-1B-Instruct-Q4_K_M.gguf,CPU,0.9,1.05,0.9,40,2048,4,128,256,6,0,q5_1,q5_1,off,1,100,1,none,nan,0.0,671
6,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.9,1.05,1.0,40,2048,4,128,512,6,0,q5_1,q5_1,on,1,50,0,none,-1.482052789926529,0.38,933
7,Llama-3.2-1B-Instruct-Q4_K_M.gguf,CPU,0.9,1.1,1.0,40,8192,4,256,512,8,0,q8_0,f16,on,1,0,0,none,-0.9060704958438873,0.48,958
8,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.9,1.1,0.9,40,4096,4,256,512,6,0,q8_0,f16,off,1,0,1,none,-0.8921068006753922,0.38,910
9,LFM2-8B-A1B-Q4_K_M.gguf,CPU,1.0,1.1,0.9,40,8192,4,256,512,6,0,q8_0,f16,off,1,0,1,none,-0.9862493127584457,0.54,902
10,microsoft_Phi-4-mini-instruct-Q4_K_M.gguf,CPU,0.9,1.1,0.9,60,8192,4,512,1024,6,0,q8_0,q8_0,off,1,0,1,none,nan,0.0,598
11,Llama-3.2-1B-Instruct-Q4_K_M.gguf,CPU,0.9,1.05,1.0,40,2048,4,128,512,6,0,q5_1,q5_1,on,1,100,0,none,-1.482052789926529,0.38,919
12,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,1.0,1.05,0.9,60,4096,4,256,1024,8,0,f16,f16,off,1,100,1,none,-1.0055053119361401,0.52,889
13,Llama-3.2-1B-Instruct-Q4_K_M.gguf,CPU,0.9,1.0,1.0,40,2048,4,128,256,6,0,q5_1,q5_1,on,1,50,1,none,-1.3682898414134979,0.48,893
14,Llama-3.2-1B-Instruct-Q4_K_M.gguf,CPU,0.9,1.05,1.0,40,4096,4,256,512,8,0,f16,f16,on,1,100,0,none,-1.0399852673709393,0.54,930
15,microsoft_Phi-4-mini-instruct-Q4_K_M.gguf,CPU,0.9,1.05,1.0,20,4096,4,128,256,8,0,q5_1,q5_1,on,1,100,0,none,-1.485611509680748,0.42,925
16,qwen2-7b-tinytron-Q4_K_M.gguf,CPU,1.0,1.05,0.9,40,4096,4,128,512,6,0,f16,q5_1,off,1,100,1,none,nan,0.0,587
17,Llama-3.2-1B-Instruct-Q4_K_M.gguf,CPU,1.0,1.0,0.9,60,8192,4,512,1024,6,0,q8_0,q5_1,off,1,50,1,none,nan,0.0,580
18,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,1.0,1.0,1.0,20,2048,4,512,1024,8,0,q5_1,q8_0,on,1,50,0,none,-1.4236160433292389,0.4,927
19,LFM2-8B-A1B-Q4_K_M.gguf,CPU,1.0,1.0,1.0,60,8192,4,512,1024,8,0,q5_1,q8_0,on,1,50,0,none,-1.386791969537735,0.32,922
20,microsoft_Phi-4-mini-instruct-Q4_K_M.gguf,CPU,0.9,1.1,0.9,60,4096,4,256,512,6,0,f16,f16,on,1,100,1,none,-1.0221043100953102,0.48,864
