run_id,model,mode,temperature,repeat_penalty,top_p,top_k,ctx_size,keep,batch_size,ubatch_size,threads,ngl,ctk,ctv,flash_attn,context_shift,poll_level,use_mmap,split_mode,mirostat_mode,mirostat_ent,dry_multiplier,frequency_penalty,system_prompt,bleurt_score,accuracy,avg_prefill_speed,avg_decode_speed,avg_total_speed,runtime_seconds
1,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.5,1.1,0.95,50,512,4,128,128,8,0,f16,f16,on,1,30,0,none,2,3.5,0.3,0.0,"",-0.7227922940254211,0.56,31.46,21.12,15.92,846
2,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.5,1.1,0.9,50,512,4,128,128,8,0,f16,f16,on,1,30,0,none,0,3.5,0.8,0.05,"",-0.7205303108692169,0.56,33.61,22.19,22.43,743
3,TinyLlama-1.1B-Chat-Q4_K_M.gguf,CPU,0.5,1.1,1.0,50,512,4,128,128,8,0,f16,f16,on,1,30,0,none,0,3.5,0.8,0.05,"",-0.8075949513912201,0.48,33.13,21.50,21.75,791
4,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.5,1.1,0.9,50,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,0,3.5,0.0,0.05,"",-0.8000619578361511,0.56,34.51,22.45,23.25,687
5,mobilellm-r1.5-950M_q4_0.gguf,CPU,0.5,1.1,0.95,50,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,2,3.5,0.3,0.05,"",-0.8545319211483001,0.52,31.88,21.49,16.93,854
6,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.5,1.1,1.0,50,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,0,3.5,0.8,0.05,"",-0.7965859711170197,0.52,34.68,22.20,22.40,735
7,DeepSeek-R1-Distill-Qwen-1.5B-Q4_K_M.gguf,CPU,0.5,1.1,0.95,50,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,2,3.5,0.3,0.0,"",-0.8545319211483001,0.52,31.99,21.36,16.73,862
8,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.5,1.1,0.9,50,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,0,3.5,0.3,0.05,"",-0.8060492873191833,0.56,31.87,21.60,21.87,718
9,TinyLlama-1.1B-Chat-Q4_K_M.gguf,CPU,0.5,1.1,0.9,50,512,4,128,128,8,0,f16,f16,on,1,30,0,none,2,3.5,0.0,0.0,"",-0.7227922940254211,0.56,32.40,21.68,16.44,862
10,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.5,1.1,0.95,50,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,2,3.5,0.0,0.0,"",-0.8545319211483001,0.52,31.89,21.24,16.66,865
11,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.5,1.1,1.0,50,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,2,3.5,0.8,0.0,"",-0.8545319211483001,0.52,33.26,21.74,17.19,852
12,Llama-3.2-1B-Instruct-Q4_0.gguf,CPU,0.5,1.1,0.95,50,512,4,128,128,8,0,f16,q8_0,on,1,30,0,none,0,3.5,0.3,0.05,"",-0.8091138184070588,0.56,37.16,23.24,23.65,678
